Titre,Price,Localisation,Size,Nb_pieces,Nb_chambre,Nb_Salles_bain,Etat,Old,Etage,Caracteristiques_supplementaires,URL
Appartement Meublé à Louer Place Mozart Tanger,10 000 DH,"Mozart à
							
							Tanger","125
					m²",4 Pièces,2 Chambres,2 Salles de bains,Nouveau,1-5 ans,"6ème
					étage",|Meublé|Garage|Ascenseur|Concierge|Salon européen|Climatisation|Chauffage central|Double vitrage|Sécurité|Porte blindée|Cuisine équipée|Four|Machine à laver|Micro-ondes|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/6804355/appartement-meubl%C3%A9-%C3%A0-louer-place-mozart-tanger
APPART MEUBLE DE LUXE,4 500 DH,"Moujahidine à
							
							Tanger","65
					m²",3 Pièces,2 Chambres,1 Salle de bain,Nouveau,,"1er
					étage",|Meublé|Ascenseur|Jardin|Concierge|Salon Marocain|Salon européen|Climatisation|Double vitrage|Antenne parabolique|Sécurité|Porte blindée|Marbre|Cuisine équipée|Four|Machine à laver|Micro-ondes|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/6990528/appart-meuble-de-luxe
Appartement meublé à la location longue durée,13 000 DH,"Malabata à
							
							Tanger","124
					m²",5 Pièces,2 Chambres,2 Salles de bains,Bon état,,,|Meublé|Terrasse|Garage|Concierge|Vue sur mer|Vue sur les montagnes|Salon européen|Climatisation|Double vitrage|Antenne parabolique|Sécurité|Porte blindée|Carrelage|Cuisine équipée|Four|Machine à laver|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/6227401/appartement-meubl%C3%A9-%C3%A0-la-location-longue-dur%C3%A9e
Appartement Meublé à Louer – Place Mozart – Tanger,5 000 DH,"Mozart à
							
							Tanger","80
					m²",2 Pièces,2 Chambres,1 Salle de bain,Bon état,5-10 ans,"4ème
					étage",|Meublé|Ascenseur|Concierge|Salon Marocain|Salon européen|Climatisation|Double vitrage|Sécurité|Porte blindée|Marbre|Cuisine équipée|Four|Machine à laver|Micro-ondes|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/7001236/appartement-meubl%C3%A9-%C3%A0-louer-%E2%80%93-place-mozart-%E2%80%93-tanger
Coquet Appartement à la location Malabata,11 500 DH,"Malabata à
							
							Tanger","120
					m²",4 Pièces,2 Chambres,,,,,|Meublé|Terrasse|Garage|Ascenseur,https://www.mubawab.ma/fr/a/6719792/coquet-appartement-%C3%A0-la-location-malabata
Location Appartement 130 m² MALABATA Tanger Ref: LZ445,13 500 DH,Tanger,"130
					m²",4 Pièces,3 Chambres,2 Salles de bains,"130
					m²",,,|Meublé|Terrasse|Garage|Piscine|Jardin|Sécurité,https://www.mubawab.ma/fr/a/7005744/location-appartement-130-m%C2%B2-malabata-tanger-ref-lz445
Appart trés moderne et luxueux à vendre,2 300 000 DH,"Centre à
							
							Tanger","206
					m²",5 Pièces,3 Chambres,2 Salles de bains,Bon état,1-5 ans,,|Terrasse|Ascenseur|Concierge|Cheminée|Cuisine équipée,https://www.mubawab.ma/fr/a/7005452/appart-tr%C3%A9s-moderne-et-luxueux-%C3%A0-vendre
Appartement HAUT STANDING à louer,6 200 DH,"Centre à
							
							Tanger","125
					m²",4 Pièces,3 Chambres,2 Salles de bains,Nouveau,1-5 ans,,|Terrasse|Garage|Ascenseur|Concierge|Sécurité|Four,https://www.mubawab.ma/fr/a/6962123/appartement-haut-standing-%C3%A0-louer
Joli appartement meublé au Quartier Administratif,8 500 DH,"Administratif à
							
							Tanger","90
					m²",4 Pièces,2 Chambres,1 Salle de bain,"90
					m²",,,|Meublé,https://www.mubawab.ma/fr/a/5932757/joli-appartement-meubl%C3%A9-au-quartier-administratif
Appartement deux chambres à louer,4 000 DH,"Centre à
							
							Tanger","95
					m²",3 Pièces,2 Chambres,1 Salle de bain,Nouveau,,"8ème
					étage",|Ascenseur|Carrelage,https://www.mubawab.ma/fr/a/6990744/appartement-deux-chambres-%C3%A0-louer
Appartement deux chambres à louer,4 000 DH,"Centre à
							
							Tanger","100
					m²",3 Pièces,2 Chambres,1 Salle de bain,Bon état,1-5 ans,"2ème
					étage",|Ascenseur|Concierge|Antenne parabolique|Sécurité|Carrelage,https://www.mubawab.ma/fr/a/6990739/appartement-deux-chambres-%C3%A0-louer
Appartement deux chambres à louer à iberia,7 800 DH,"Iberie à
							
							Tanger","128
					m²",4 Pièces,2 Chambres,2 Salles de bains,Bon état,5-10 ans,"5ème
					étage",|Terrasse|Garage|Ascenseur|Concierge|Climatisation|Antenne parabolique|Sécurité|Carrelage|Cuisine équipée|Four,https://www.mubawab.ma/fr/a/7004730/appartement-deux-chambres-%C3%A0-louer-%C3%A0-iberia
